"Date","RegionID","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-01-31,32292,"Kent Lakes","NY","New York-Newark-Jersey City","Putnam County",7138,315800,0.00126823081800888,0.00285805017465862,0.000950871632329636,0.0216698044971952,-0.0112140864164442,"2005-11","2005-Q4",396100,-0.20272658419591,"2003-06"
2019-01-31,45454,"Glen Saint Mary","FL","Jacksonville","Baker County",7139,205200,0.00884955752212389,0.0321931589537223,0.115823817292007,0.0860642476215745,0.0245546955546696,"2019-01","2019-Q1",205200,0,"2019-01"
2019-01-31,50510,"Laurence Harbor","NJ","New York-Newark-Jersey City","Middlesex County",7140,246300,0.0160891089108911,0.0366161616161616,0.117006802721088,0.0729594393827362,0.00652104709278722,"2006-10","2006-Q4",285200,-0.136395511921459,"2005-04"
2019-01-31,23945,"Cape May Court House","NJ","Ocean City","Cape May County",7141,234400,0.00904003443822643,0.0209059233449477,0.0427046263345196,0.0281713260944252,-0.00326812535612087,"2006-12","2006-Q4",286400,-0.181564245810056,"2004-10"
2019-01-31,8830,"Mosheim","TN","Greeneville","Greene County",7142,87400,-0.00228310502283105,-0.0331858407079646,0.0417163289630512,0.0707398506562678,0.0224482578259513,"2018-08","2018-Q3",93000,-0.0602150537634409,"2018-03"
2019-01-31,29237,"Pound Ridge","NY","New York-Newark-Jersey City","Westchester County",7143,829400,-0.00060248222677431,0.00961655508216677,0.0413057124921532,0.0224653898834035,-0.0140432163546549,"2006-06","2006-Q2",1139600,-0.272200772200772,"2002-11"
2019-01-31,45214,"Eyota","MN","Rochester","Olmsted County",7144,213000,0.00519112789051439,0.0176779741997133,0.0487444608567208,0.0615598961641859,0.0308434272564022,"2019-01","2019-Q1",213000,0,"2019-01"
2019-01-31,25448,"La Porte City","IA","Waterloo-Cedar Falls","Black Hawk County",7145,140500,0,0.00142551674982181,0.027046783625731,0.0243105749521024,0.0239399265744045,"2018-11","2018-Q4",141000,-0.00354609929078014,"2018-11"
2019-01-31,30786,"Cataula","GA","Columbus","Harris County",7146,225200,0.0130454340980657,0.0503731343283582,0.0662878787878788,0.0424876917786066,0.00909814877981252,"2019-01","2019-Q1",225200,0,"2019-01"
2019-01-31,55809,"Lake City","TN","Knoxville","Anderson County",7147,107800,0.0247148288973384,0.068384539147671,0.22083805209513,0.0687788558994027,0.0264884494671254,"2019-01","2019-Q1",107800,0,"2019-01"
2019-01-31,11615,"Glasgow","MT",,"Valley County",7148,149700,0.000668449197860962,0.0446615491974878,0.0824295010845987,0.0510664868198294,,"2019-01","2019-Q1",149700,0,"2019-01"
